INFO  - 2019-04-24 21:08:14.026; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2019-04-24 21:08:14.036; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2019-04-24 21:08:14.037; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2019-04-24 21:08:14.040; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2019-04-24 21:08:14.040; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2019-04-24 21:08:14.041; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2019-04-24 21:08:14.046; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2019-04-24 21:08:14.047; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2019-04-24 21:08:14.048; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2019-04-24 21:08:14.050; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2019-04-24 21:08:14.051; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2019-04-24 21:08:14.052; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2019-04-24 21:08:14.053; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2019-04-24 21:08:14.053; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2019-04-24 21:08:14.059; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2019-04-24 21:08:14.065; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2019-04-24 21:08:14.069; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2019-04-24 21:08:14.101; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2019-04-24 21:08:14.106; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2019-04-24 21:08:14.108; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2019-04-24 21:08:14.115; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2019-04-24 21:08:14.116; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2019-04-24 21:08:14.118; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2019-04-24 21:08:14.121; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2019-04-24 21:08:14.122; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2019-04-24 21:08:14.123; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2019-04-24 21:08:14.157; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2019-04-24 21:08:14.165; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2019-04-24 21:08:14.167; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2019-04-24 21:08:14.169; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2019-04-24 21:08:14.175; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2019-04-24 21:08:14.217; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2019-04-24 21:08:14.218; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2019-04-24 21:08:14.240; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2019-04-24 21:08:14.241; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2019-04-24 21:08:14.265; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@23dfb8a[collection1] main
INFO  - 2019-04-24 21:08:14.284; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\conf
INFO  - 2019-04-24 21:08:14.285; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\conf}
INFO  - 2019-04-24 21:08:14.295; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\conf
INFO  - 2019-04-24 21:08:14.314; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\conf
INFO  - 2019-04-24 21:08:14.316; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2019-04-24 21:08:14.320; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
